239.573,1.64213,152.515,0.291016,2.79666,-0.678711,7.36057,-0.200595,0.771925,cello
246.713,1.80387,150.952,0.0527344,2.02716,-0.375,3.96875,13.6793,338.121,guitar
103.095,0.699845,117.874,0.0634766,37.6069,0.836914,1413.58,0.992123,2.73093,bass
143.429,0.899352,111.912,0.166992,56.6973,14.8223,2994.89,1.01362,5.99628,harpsichord
240.781,1.66611,152.127,0.34668,4.16868,-0.213867,17.3322,-0.0283362,0.0503087,marimba
235.409,1.61757,154.68,0.251953,2.03101,-0.607422,3.75602,0.147875,0.386634,oboe
234.803,1.6439,154.473,0.338867,4.40181,-0.34668,19.2559,-0.0584672,0.369758,piano
143.87,1.17388,152.811,0.0585938,9.5673,0.59375,91.1799,-0.514973,0.756454,shakuhachi
241.806,1.61301,150.898,0.285156,2.11094,-0.551758,4.15162,-0.111289,0.34505,sitar
242.606,1.62973,152.548,0.285156,2.06558,-0.532227,3.98331,0.12998,0.656851,flute
160.431,1.23123,156.632,0.118164,7.84761,0.178711,61.5531,-0.311286,0.49417,saxophone
147.816,1.17981,153.073,0.0908203,9.05565,0.875977,81.2375,0.132084,1.20905,trumpet
56.8042,0.447485,85.9317,0.00292969,10.0525,-1.56445,98.6053,-6.16456,41.0913,viola
79.9276,0.600509,98.2938,0.0185547,38.815,-0.517578,1506.34,-0.695402,11.508,violin
